0	1
616	625
638	651
1458	1478
1801	1824
2325	2326
2648	2649
2846	2847
2966	2967
3055	3056
3068	3090
3096	3097
3105	3106
3118	3125
3141	3149
3156	3167
3174	3182
3193	3194
3303	3304
3337	3344
3407	3408
3510	3531
3608	3609
3856	3857
4075	4076
4203	4204
4652	4653
4801	4802
5014	5015
5403	5404
5512	5513
5609	5610
5713	5714
5911	5912
6006	6007
6109	6110
6217	6218
6336	6337
6445	6446
6520	6521
6547	6548
6621	6622
6715	6716
6746	6752
6773	6774
6839	6840
6897	6898
6954	6955
7061	7062
7125	7126
7211	7212
7278	7279
7339	7340
7394	7395
7465	7466
7523	7529
7558	7559
7610	7611
7696	7697
7817	7818
7883	7884
7957	7958
8036	8037
8123	8124
8173	8174
8225	8226
8269	8270
8342	8343
8418	8419
8547	8548
8763	8764
8949	8950
9103	9104
9236	9237
9317	9318
9508	9509
9620	9621
9717	9723
9781	9782
9825	9826
9839	9844
9864	9865
9902	9903
9989	9990
10133	10134
10201	10202
10449	10450
10541	10542
10711	10712
10766	10767
10830	10831
10904	10905
10957	10958
11039	11040
11077	11078
11142	11143
11159	11160
11235	11236
11263	11264
11323	11324
11393	11394
11455	11456
11532	11533
11634	11635
11719	11720
11833	11834
11957	11958
12149	12150
12512	12513
12737	12738
12917	12918
13101	13102
13518	13519
13644	13645
13821	13822
13918	13919
14015	14016
14043	14044
14078	14081
14106	14107
14125	14130
14166	14167
14188	14198
14207	14208
14219	14220
14233	14245
14342	14343
14447	14448
14551	14552
14667	14668
14791	14792
14923	14924
15035	15036
15355	15356
15567	15568
15767	15768
15956	15957
16048	16049
16275	16276
16416	16417
16616	16617
16782	16783
16794	16814
16838	16844
16951	16952
17065	17066
17172	17173
17282	17283
17433	17434
17562	17563
17673	17674
17805	17806
18009	18010
18130	18131
18156	18157
18172	18176
18196	18197
18215	18216
18259	18260
18420	18421
18593	18594
18676	18677
18775	18776
18943	18944
19074	19075
19190	19191
19326	19327
19486	19487
19633	19634
19789	19790
19928	19929
20075	20076
20125	20126
20296	20297
20420	20421
20540	20541
20600	20601
20650	20651
20711	20713
20864	20865
20874	20887
20976	20982
20988	20989
21034	21035
21152	21161
21173	21194
21460	21461
21787	21788
22088	22089
22374	22375
22480	22481
22846	22847
22988	22989
23479	23480
24033	24034
24710	24711
24914	24915
25130	25131
25645	25646
26021	26022
26772	26773
27040	27041
27571	27572
27597	27598
27623	27624
27649	27650
27675	27676
27701	27702
27727	27728
27753	27754
27961	27962
28337	28338
28493	28494
28608	28609
28806	28807
28935	28936
29025	29026
29145	29146
29407	29408
29635	29636
29904	29905
30015	30016
30041	30042
30418	30419
31041	31042
31322	31323
31828	31829
32107	32108
32341	32342
32650	32651
33085	33086
33394	33395
33581	33582
33810	33811
33824	33825
34114	34115
34455	34475
35021	35022
35038	35079
35375	35376
35823	35824
36276	36277
36508	36509
37011	37012
37274	37275
37825	37826
38021	38022
38105	38106
38185	38186
38243	38244
38343	38344
38479	38480
38676	38677
38866	38867
39049	39050
39938	39939
40072	40073
40345	40346
40566	40567
40794	40795
40905	40906
41104	41105
41231	41232
41392	41393
41524	41525
41609	41610
41740	41741
41809	41810
42542	42543
42732	42733
42907	42908
43106	43107
43381	43382
43554	43555
43755	43756
43834	43835
43964	43965
44001	44002
44043	44044
44148	44149
44210	44211
44273	44274
44315	44316
44341	44346
44383	44384
44575	44576
44661	44662
44795	44796
44919	44920
44969	44972
45032	45033
45141	45142
45334	45335
45464	45465
45538	45539
45703	45704
45928	45929
46028	46029
46325	46326
46527	46528
46784	46785
46914	46915
47073	47074
47186	47192
47299	47301
47446	47448
47500	47501
47508	47510
47526	47529
47560	47561
47621	47627
47641	47643
47683	47685
47693	47694
47743	47744
47763	47764
47785	47786
47821	47825
47831	47834
47854	47855
47874	47875
47883	47886
47942	47945
47953	47954
47987	47988
48343	48344
48368	48369
48392	48398
48420	48421
48499	48501
48552	48553
48714	48715
48743	48744
48998	49026
49381	49382
49840	49841
50184	50185
50448	50449
50681	50682
50894	50899
50906	50910
50916	50935
50983	50985
50994	51009
51018	51024
51030	51032
51047	51054
51061	51067
51262	51276
51282	51284
51347	51348
51618	51648
51678	51679
51805	51806
51916	51917
52011	52012
52132	52138
52288	52289
52305	52307
52315	52320
52331	52341
52347	52355
52365	52371
52385	52387
52477	52478
52497	52498
52874	52875
52970	52971
53025	53026
53152	53153
53255	53256
53384	53385
53539	53540
53687	53688
54051	54052
54172	54173
54390	54391
54522	54523
54740	54741
55066	55067
55476	55477
55865	55866
55944	55945
56061	56062
56173	56174
56183	56184
56286	56287
56387	56388
56437	56438
56502	56503
56675	56676
56733	56734
56826	56827
56960	56961
57027	57028
57125	57126
57198	57199
57339	57340
57438	57439
57582	57583
58005	58006
58194	58195
58497	58502
58508	58509
58541	58546
58850	58851
59149	59162
59169	59183
59370	59384
59401	59406
59794	59795
59963	59967
60010	60031
60253	60254
60261	60290
60460	60461
60630	60631
60808	60809
61041	61042
61362	61363
61541	61542
62264	62265
62429	62430
62555	62556
62670	62671
62724	62725
62827	62828
62967	62968
63031	63033
63049	63050
63173	63174
63344	63345
63357	63362
63387	63391
63404	63439
63538	63539
63666	63667
63778	63779
63986	63987
64114	64115
64304	64305
64521	64522
64591	64593
64695	64696
64711	64736
64743	64744
64811	64812
64941	64948
64984	64985
65104	65105
65295	65296
65517	65518
65723	65724
65829	65830
66042	66044
66165	66166
66277	66278
66386	66387
66469	66470
66557	66558
66662	66663
66761	66763
66813	66814
66923	66924
67022	67023
67100	67101
67199	67200
67260	67261
67310	67313
67323	67324
67366	67367
67637	67638
67720	67721
67777	67778
67842	67843
68244	68245
68374	68375
68823	68824
68929	68930
69138	69139
69324	69325
69611	69612
69863	69864
69990	69991
70174	70175
70376	70377
70555	70575
70590	70591
72095	72096
